2010 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:15508 Phase:FinalResults Generated:2010-10-22T12:04:27 Cycle:041ca8fa-b8e6-4636-b4b8-5e8ba775b268 Created:2010-10-22T11:56:27 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
ACT,101,Canberra,8829,Barton,1397,63.79,793,36.21,2190,2.61
ACT,101,Canberra,11877,Bonython,1219,59.67,824,40.33,2043,-1.66
ACT,101,Canberra,11452,Calwell,1566,60.44,1025,39.56,2591,0.93
ACT,101,Canberra,8794,Canberra Hospital,516,61.21,327,38.79,843,-2.82
ACT,101,Canberra,8761,Chapman,1688,59.35,1156,40.65,2844,-1.86
ACT,101,Canberra,8763,Chisholm,1020,56.2,795,43.8,1815,-6.67
ACT,101,Canberra,58708,City CANBERRA PPVC,1244,63.47,716,36.53,1960,26.27
ACT,101,Canberra,31298,Conder,2025,58.11,1460,41.89,3485,-0.93
ACT,101,Canberra,8764,Curtin,1871,63.57,1072,36.43,2943,-0.16
ACT,101,Canberra,8766,Deakin,789,46.47,909,53.53,1698,-3.1
ACT,101,Canberra,30092,Divisional Office (PREPOLL),959,58.76,673,41.24,1632,21.53
ACT,101,Canberra,8767,Duffy,1300,64.68,710,35.32,2010,-1.72
ACT,101,Canberra,8768,Fadden,1268,54.26,1069,45.74,2337,-2.47
ACT,101,Canberra,8769,Farrer,1464,52.99,1299,47.01,2763,-2.17
ACT,101,Canberra,8771,Gilmore,1234,56.81,938,43.19,2172,-3.35
ACT,101,Canberra,12072,Gordon,2349,58.9,1639,41.1,3988,0.78
ACT,101,Canberra,8772,Gowrie,1175,58.49,834,41.51,2009,-1.04
ACT,101,Canberra,8817,Griffith,1024,57.27,764,42.73,1788,-1.56
ACT,101,Canberra,8773,Holder,1139,59.79,766,40.21,1905,-5.11
ACT,101,Canberra,8774,Hughes,1618,58.45,1150,41.55,2768,-3.49
ACT,101,Canberra,8884,Isabella Plains,1623,61.85,1001,38.15,2624,-0.06
ACT,101,Canberra,8776,Kambah North,1452,59.39,993,40.61,2445,-7.03
ACT,101,Canberra,8777,Kambah South,1289,65.2,688,34.8,1977,-2.36
ACT,101,Canberra,8778,Kambah West,1728,61.39,1087,38.61,2815,-2.65
ACT,101,Canberra,8779,Lyons,993,66.2,507,33.8,1500,-2.41
